geoname_id,name,ascii_name,feature_class,feature_code,population,admin1_code,admin2_code,latitude,longitude
3093268,Lipno,Lipno,P,PPLA3,14821,73,0408,52.84436,19.17852
3093315,Lipinki Łużyckie,Lipinki Luzyckie,P,PPLA3,1800,76,0811,51.63954,14.99874
3093433,Ligota,Ligota,P,PPL,4454,83,2402,49.89856,18.9509
3094597,Krupski Młyn,Krupski Mlyn,P,PPLA3,2598,83,2413,50.57337,18.62251
3094794,Kramsk,Kramsk,P,PPLA3,1700,86,3010,52.26469,18.42407
3095049,Koszalin,Koszalin,P,PPLA2,107450,87,3261,54.19438,16.17222
3097107,Jordanów,Jordanow,P,PPLA3,5194,77,1215,49.64935,19.82981
3097391,Jastrzębie Zdrój,Jastrzebie Zdroj,P,PPLA2,95813,83,2467,49.95542,18.57479
3098453,Grabowo Kościerskie,Grabowo Koscierskie,P,PPL,1159,82,2206,54.16816,18.14692
3098575,Gozdowo,Gozdowo,P,PPLA3,1403,78,1427,52.72455,19.68501
3098727,Górzno,Gorzno,P,PPL,1352,73,0402,53.19779,19.64317
3099134,Gniazdów,Gniazdow,P,PPL,1137,83,2409,50.59621,19.11132
3099192,Główczyce,Glowczyce,P,PPLA3,1950,82,2212,54.61935,17.3723
3099434,Gdańsk,Gdansk,P,PPLA,461865,82,2261,54.35227,18.64912
3100124,Drobin,Drobin,P,PPLA3,2938,78,1419,52.73775,19.98928
3100139,Drawsko Pomorskie,Drawsko Pomorskie,P,PPL,11275,87,3203,53.53056,15.80967
3100465,Deszczno,Deszczno,P,PPLA3,1100,76,0801,52.66988,15.31975
3100545,Dębno,Debno,P,PPLA3,13804,87,3210,52.73901,14.698
3100971,Czerwonak,Czerwonak,P,PPLA3,5432,86,3021,52.46459,16.98169
3101145,Czarnków,Czarnkow,P,PPLA3,11562,86,3002,52.90214,16.56413
3101204,Czaplinek,Czaplinek,P,PPL,6933,87,3203,53.55775,16.23333
3101420,Ciechów,Ciechow,P,PPL,1500,72,0218,51.13218,16.56773
3101426,Ciechocinek,Ciechocinek,P,PPLA3,10832,73,0401,52.87908,18.79505
3102999,Bolechowice,Bolechowice,P,PPL,1515,77,1206,50.14831,19.79273
3103016,Bojadła,Bojadla,P,PPLA3,1200,76,0809,51.95321,15.81036
